question,question_short,key
"I trust people less since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?","I trust people less since being victim of fraud: Reflecting on your experience(s) of having money stolen from by fraudsters, to extent agree or disagree with each following st",197
"I trust my gut instinct more since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?","I trust my gut instinct more since being victim of fraud: Reflecting on your experience(s) of having money stolen from by fraudsters, to extent agree or disagree with each fol",198
"I am warier of strangers since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?","I am warier of strangers since being victim of fraud: Reflecting on your experience(s) of having money stolen from by fraudsters, to extent agree or disagree with each followi",199
"I feel more confident in my ability to spot fraud since being a victim: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?","I feel more confident in my ability to spot fraud since being victim: Reflecting on your experience(s) of having money stolen from by fraudsters, to extent agree or disagree w",200
"Being a victim of fraud has made me more mindful of how I spend my money: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?","Being victim of fraud made me more mindful of how I spend my money: Reflecting on your experience(s) of having money stolen from by fraudsters, to extent agree or disagree wit",201
"Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements? SUMMARY","Reflecting on your experience(s) of having money stolen from by fraudsters, to extent agree or disagree with each following statements? SUMMARY",202
To what extent do you agree or disagree with the following statement: 'Being a victim of fraud has had a negative impact on my mental health'?,To extent agree or disagree with following statement: 'Being victim of fraud had negative impact on my mental health'?,203
"In what way(s) has being a victim of fraud impacted your mental health? If fraudsters have stolen money from you on more than one occasion, please consider how, collectively, being defrauded has had a negative impact on your mental health.","In way(s) being victim of fraud impacted your mental health? If fraudsters have stolen money from on more than one occasion, please consider how, collectively, being defrauded",204
Have you ever sought professional help about the way(s) fraud has impacted your mental health?,Have ever sought professional help about way(s) fraud impacted your mental health?,205
SUMMARY - (Sum: Well): To what extent do you think that the government is handling each of the following policy areas well or badly?,SUMMARY - (Sum: Well): To extent think government is handling each of following policy areas well or badly?,206
SUMMARY - (Sum: Badly): To what extent do you think that the government is handling each of the following policy areas well or badly?,SUMMARY - (Sum: Badly): To extent think government is handling each of following policy areas well or badly?,207
The economy:  To what extent do you think that the government is handling each of the following policy areas well or badly?,The economy:  To extent think government is handling each of following policy areas well or badly?,208
Inflation and the cost of living:  To what extent do you think that the government is handling each of the following policy areas well or badly?,Inflation cost of living:  To extent think government is handling each of following policy areas well or badly?,209
Immigration:  To what extent do you think that the government is handling each of the following policy areas well or badly?,Immigration:  To extent think government is handling each of following policy areas well or badly?,210
The NHS:  To what extent do you think that the government is handling each of the following policy areas well or badly?,The NHS:  To extent think government is handling each of following policy areas well or badly?,211
Housing:  To what extent do you think that the government is handling each of the following policy areas well or badly?,Housing:  To extent think government is handling each of following policy areas well or badly?,212
Crime:  To what extent do you think that the government is handling each of the following policy areas well or badly?,Crime:  To extent think government is handling each of following policy areas well or badly?,213
The environment and climate change:  To what extent do you think that the government is handling each of the following policy areas well or badly?,The environment climate change:  To extent think government is handling each of following policy areas well or badly?,214
Taxation:  To what extent do you think that the government is handling each of the following policy areas well or badly?,Taxation:  To extent think government is handling each of following policy areas well or badly?,215
Pensions:  To what extent do you think that the government is handling each of the following policy areas well or badly?,Pensions:  To extent think government is handling each of following policy areas well or badly?,216
Transport:  To what extent do you think that the government is handling each of the following policy areas well or badly?,Transport:  To extent think government is handling each of following policy areas well or badly?,217
Education:  To what extent do you think that the government is handling each of the following policy areas well or badly?,Education:  To extent think government is handling each of following policy areas well or badly?,218
Britain's relationship with the EU:  To what extent do you think that the government is handling each of the following policy areas well or badly?,Britain's relationship with EU:  To extent think government is handling each of following policy areas well or badly?,219
Defence:  To what extent do you think that the government is handling each of the following policy areas well or badly?,Defence:  To extent think government is handling each of following policy areas well or badly?,220
SUMMARY - (Conservative Party): Which of the following political parties do you think is best placed to manage each of the following issues?,SUMMARY - (Conservative Party): Which of following political parties think is best placed to manage each of following issues?,221
SUMMARY - (Labour Party): Which of the following political parties do you think is best placed to manage each of the following issues?,SUMMARY - (Labour Party): Which of following political parties think is best placed to manage each of following issues?,222
The economy: Which of the following political parties do you think is best placed to manage each of the following issues?,The economy: Which of following political parties think is best placed to manage each of following issues?,223
Inflation and the cost of living: Which of the following political parties do you think is best placed to manage each of the following issues?,Inflation cost of living: Which of following political parties think is best placed to manage each of following issues?,224
Immigration: Which of the following political parties do you think is best placed to manage each of the following issues?,Immigration: Which of following political parties think is best placed to manage each of following issues?,225
The NHS: Which of the following political parties do you think is best placed to manage each of the following issues?,The NHS: Which of following political parties think is best placed to manage each of following issues?,226
Housing: Which of the following political parties do you think is best placed to manage each of the following issues?,Housing: Which of following political parties think is best placed to manage each of following issues?,227
Crime: Which of the following political parties do you think is best placed to manage each of the following issues?,Crime: Which of following political parties think is best placed to manage each of following issues?,228
The environment and climate change: Which of the following political parties do you think is best placed to manage each of the following issues?,The environment climate change: Which of following political parties think is best placed to manage each of following issues?,229
Taxation: Which of the following political parties do you think is best placed to manage each of the following issues?,Taxation: Which of following political parties think is best placed to manage each of following issues?,230
Pensions: Which of the following political parties do you think is best placed to manage each of the following issues?,Pensions: Which of following political parties think is best placed to manage each of following issues?,231
Transport: Which of the following political parties do you think is best placed to manage each of the following issues?,Transport: Which of following political parties think is best placed to manage each of following issues?,232
Education: Which of the following political parties do you think is best placed to manage each of the following issues?,Education: Which of following political parties think is best placed to manage each of following issues?,233
Britain's relationship with the EU: Which of the following political parties do you think is best placed to manage each of the following issues?,Britain's relationship with EU: Which of following political parties think is best placed to manage each of following issues?,234
Defence: Which of the following political parties do you think is best placed to manage each of the following issues?,Defence: Which of following political parties think is best placed to manage each of following issues?,235
SUMMARY - (Sum: Well): To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,SUMMARY - (Sum: Well): To extent would say each of following pledges from government in YYYY have gone well or badly?,236
SUMMARY - (Sum: Badly): To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,SUMMARY - (Sum: Badly): To extent would say each of following pledges from government in YYYY have gone well or badly?,237
Halve inflation: To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,Halve inflation: To extent would say each of following pledges from government in YYYY have gone well or badly?,238
Grow the economy: To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,Grow economy: To extent would say each of following pledges from government in YYYY have gone well or badly?,239
Get debt falling: To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,Get debt falling: To extent would say each of following pledges from government in YYYY have gone well or badly?,240
Cut NHS waiting lists: To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,Cut NHS waiting lists: To extent would say each of following pledges from government in YYYY have gone well or badly?,241
Stop the boats: To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,Stop boats: To extent would say each of following pledges from government in YYYY have gone well or badly?,242
Halve inflation: Which of the following political parties do you think is best placed to manage each of the following issues?,Halve inflation: Which of following political parties think is best placed to manage each of following issues?,243
Grow the economy: Which of the following political parties do you think is best placed to manage each of the following issues?,Grow economy: Which of following political parties think is best placed to manage each of following issues?,244
Get debt falling: Which of the following political parties do you think is best placed to manage each of the following issues?,Get debt falling: Which of following political parties think is best placed to manage each of following issues?,245
Cut NHS waiting lists: Which of the following political parties do you think is best placed to manage each of the following issues?,Cut NHS waiting lists: Which of following political parties think is best placed to manage each of following issues?,246
Stop the boats: Which of the following political parties do you think is best placed to manage each of the following issues?,Stop boats: Which of following political parties think is best placed to manage each of following issues?,247
"The government has agreed a deal whereby some people who have entered Britain and applied for asylum will be flown to Rwanda, in Africa, for their applications to be processed. If their application is successful, they would be given long-term accommodation in Rwanda. To what extent do you support or oppose this?","The government agreed deal whereby some people who have entered Britain applied asylum will be flown to Rwanda, in Africa, their applications to be processed. If their applica",248
Which of the following phrases do you think best describes the government's policy to deport asylum seekers who arrive in the UK by small boat across the Channel to the African country of Rwanda?,Which of following phrases think best describes government's policy to deport asylum seekers who arrive in UK by small boat across Channel to African country of Rwanda?,249
"To what extent do you think the threat of deportation to Rwanda will reduce or increase the numbers of migrants seeking to cross the Channel in small boats, or will it make no difference?","To extent think threat of deportation to Rwanda will reduce or increase numbers of migrants seeking to cross Channel in small boats, or will make no difference?",250
"To what extent would you say that you are sure, or unsure, whether flights to Rwanda to deport asylum seekers from the UK will take off?","To extent would say are sure, or unsure, whether flights to Rwanda to deport asylum seekers from UK will take off?",251
Which of the following statements is closest to your view?,Which of following statements is closest to your view?,252
Which of the following is closest to your view?,Which of following is closest to your view?,253
Which of the following statements best describes your view?,Which of following statements best describes your view?,254
"Thinking about society overall, which of the following statements best describes your view?","Thinking about society overall, which of following statements best describes your view?",255
"SUMMARY - (NET: Ever): When, if ever, have you experienced each of the following in public?","SUMMARY - (NET: Ever): When, ever, have experienced each of following in public?",256
"SUMMARY - (NET: In the last year / more than a year ago): When, if ever, have you experienced each of the following in public?","SUMMARY - (NET: In last year / more than year ago): When, ever, have experienced each of following in public?",257
"Being cat-called or wolf-whistled: When, if ever, have you experienced each of the following in public?","Being cat-called or wolf-whistled: When, ever, have experienced each of following in public?",258
"Being stared at: When, if ever, have you experienced each of the following in public?","Being stared at: When, ever, have experienced each of following in public?",259
"Unwelcome touching, body rubbing or groping: When, if ever, have you experienced each of the following in public?","Unwelcome touching, body rubbing or groping: When, ever, have experienced each of following in public?",260
"In-person indecent comments or jokes: When, if ever, have you experienced each of the following in public?","In-person indecent comments or jokes: When, ever, have experienced each of following in public?",261
"Unwelcome sexual advances or requests for sexual favours: When, if ever, have you experienced each of the following in public?","Unwelcome sexual advances or requests sexual favours: When, ever, have experienced each of following in public?",262
"Being physically followed: When, if ever, have you experienced each of the following in public?","Being physically followed: When, ever, have experienced each of following in public?",263
"Indecent exposure: When, if ever, have you experienced each of the following in public?","Indecent exposure: When, ever, have experienced each of following in public?",264
"Online indecent comments or jokes: When, if ever, have you experienced each of the following in public?","Online indecent comments or jokes: When, ever, have experienced each of following in public?",265
"Sharing of suggestive or indecent content online or in-person: When, if ever, have you experienced each of the following in public?","Sharing of suggestive or indecent content online or in-person: When, ever, have experienced each of following in public?",266
"Being forced into participating in sexual behaviour: When, if ever, have you experienced each of the following in public?","Being forced into participating in sexual behaviour: When, ever, have experienced each of following in public?",267
"Had images taken and/or shared without your consent: When, if ever, have you experienced each of the following in public?","Had images taken and/or shared without your consent: When, ever, have experienced each of following in public?",268
"Other form of sexual harassment: When, if ever, have you experienced each of the following in public?","Other form of sexual harassment: When, ever, have experienced each of following in public?",269
"SUMMARY - (NET: Satisfied): Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","SUMMARY - (NET: Satisfied): Did ever report incident(s) to police, so, how satisfied with outcome?",270
"SUMMARY - (NET: Dissatisfied): Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","SUMMARY - (NET: Dissatisfied): Did ever report incident(s) to police, so, how satisfied with outcome?",271
"You said that you experienced Being cat-called or wolf-whistled in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","You said experienced Being cat-called or wolf-whistled in public. Did ever report incident(s) to police, so, how satisfied with outcome?",272
"You said that you experienced Being stared at in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","You said experienced Being stared at in public. Did ever report incident(s) to police, so, how satisfied with outcome?",273
"You said that you experienced Unwelcome touching, body rubbing or groping in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","You said experienced Unwelcome touching, body rubbing or groping in public. Did ever report incident(s) to police, so, how satisfied with outcome?",274
"You said that you experienced In-person indecent comments or jokes in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","You said experienced In-person indecent comments or jokes in public. Did ever report incident(s) to police, so, how satisfied with outcome?",275
"You said that you experienced Unwelcome sexual advances or requests for sexual favours in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","You said experienced Unwelcome sexual advances or requests sexual favours in public. Did ever report incident(s) to police, so, how satisfied with outcome?",276
"You said that you experienced Being physically followed in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","You said experienced Being physically followed in public. Did ever report incident(s) to police, so, how satisfied with outcome?",277
"You said that you experienced Indecent exposure in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","You said experienced Indecent exposure in public. Did ever report incident(s) to police, so, how satisfied with outcome?",278
"You said that you experienced Online indecent comments or jokes in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","You said experienced Online indecent comments or jokes in public. Did ever report incident(s) to police, so, how satisfied with outcome?",279
"You said that you experienced Sharing of suggestive or indecent content online or in-person in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","You said experienced Sharing of suggestive or indecent content online or in-person in public. Did ever report incident(s) to police, so, how satisfied with outcome?",280
"You said that you experienced Being forced into participating in sexual behaviour in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","You said experienced Being forced into participating in sexual behaviour in public. Did ever report incident(s) to police, so, how satisfied with outcome?",281
"You said that you experienced Had images taken and/or shared without your consent in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","You said experienced Had images taken and/or shared without your consent in public. Did ever report incident(s) to police, so, how satisfied with outcome?",282
"You said that you experienced Other form of sexual harassment in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?","You said experienced Other form of sexual harassment in public. Did ever report incident(s) to police, so, how satisfied with outcome?",283
"SUMMARY - (NET: Ever): To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","SUMMARY - (NET: Ever): To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their lives?",284
"SUMMARY - (NET: In the last year / more than a year ago): To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","SUMMARY - (NET: In last year / more than year ago): To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their liv",285
"Being cat-called or wolf-whistled: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","Being cat-called or wolf-whistled: To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their lives?",286
"Being stared at: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","Being stared at: To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their lives?",287
"Unwelcome touching, body rubbing or groping: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","Unwelcome touching, body rubbing or groping: To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their lives?",288
"In-person indecent comments or jokes: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","In-person indecent comments or jokes: To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their lives?",289
"Unwelcome sexual advances or requests for sexual favours: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","Unwelcome sexual advances or requests sexual favours: To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their l",290
"Being physically followed: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","Being physically followed: To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their lives?",291
"Indecent exposure: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","Indecent exposure: To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their lives?",292
"Online indecent comments or jokes: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","Online indecent comments or jokes: To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their lives?",293
"Sharing of suggestive or indecent content online or in-person: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","Sharing of suggestive or indecent content online or in-person: To best of your knowledge, when, ever, have any of your female friends or family experienced each of following i",294
"Being forced into participating in sexual behaviour: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","Being forced into participating in sexual behaviour: To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their li",295
"Had images taken and/or shared without your consent: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","Had images taken and/or shared without your consent: To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their li",296
"Other form of sexual harassment: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?","Other form of sexual harassment: To best of your knowledge, when, ever, have any of your female friends or family experienced each of following in their lives?",297
To what extent do you have trust in the police's ability to keep women safe in public?,To extent have trust in police's ability to keep women safe in public?,298
"Which of the following experiences, if any, have happened to you at your current work place?","Which of following experiences, any, have happened to at your current work place?",299
"SUMMARY - (NET: Always/often): How often, if at all, do you do each of the following chores in your household?","SUMMARY - (NET: Always/often): How often, at all, each of following chores in your household?",300
"SUMMARY - (NET: Rarely/never): How often, if at all, do you do each of the following chores in your household?","SUMMARY - (NET: Rarely/never): How often, at all, each of following chores in your household?",301
"Prepare meals for yourself or others: How often, if at all, do you do each of the following chores in your household?","Prepare meals yourself or others: How often, at all, each of following chores in your household?",302
"Clean areas of your home (e.g. sweeping, dusting, vacuuming etc.): How often, if at all, do you do each of the following chores in your household?","Clean areas of your home (e.g. sweeping, dusting, vacuuming etc.): How often, at all, each of following chores in your household?",303
"Do the laundry for yourself or others (e.g. wash, dry, iron clothes etc.): How often, if at all, do you do each of the following chores in your household?","Do laundry yourself or others (e.g. wash, dry, iron clothes etc.): How often, at all, each of following chores in your household?",304
"Do the grocery shopping for yourself or others: How often, if at all, do you do each of the following chores in your household?","Do grocery shopping yourself or others: How often, at all, each of following chores in your household?",305
"Perform home maintenance tasks (e.g. fixing items, gardening, painting etc.): How often, if at all, do you do each of the following chores in your household?","Perform home maintenance tasks (e.g. fixing items, gardening, painting etc.): How often, at all, each of following chores in your household?",306
"Manage household finances (e.g. pay bills, budgeting etc.): How often, if at all, do you do each of the following chores in your household?","Manage household finances (e.g. pay bills, budgeting etc.): How often, at all, each of following chores in your household?",307
"Provide childcare for children (e.g. feeding, bathing, helping with homework, driving to activities etc.): How often, if at all, do you do each of the following chores in your household?","Provide childcare children (e.g. feeding, bathing, helping with homework, driving to activities etc.): How often, at all, each of following chores in your household?",308
"Provide care for elderly or disabled family members (e.g. helping with medications, personal care, doctors' appointments etc.): How often, if at all, do you do each of the following chores in your household?","Provide care elderly or disabled family members (e.g. helping with medications, personal care, doctors' appointments etc.): How often, at all, each of following chores in your",309
Which of the following best describes your view?,Which of following best describes your view?,310
"Have you experienced any content, comments, videos, or images online in the last 12 months that...","Have experienced any content, comments, videos, or images online in last 12 months that...",311
"SUMMARY - (NET: Favourable): To what extent, if at all, do you have a favourable or unfavourable view of the following people?","SUMMARY - (NET: Favourable): To extent, at all, have favourable or unfavourable view of following people?",312
"SUMMARY - (NET: Unfavourable): To what extent, if at all, do you have a favourable or unfavourable view of the following people?","SUMMARY - (NET: Unfavourable): To extent, at all, have favourable or unfavourable view of following people?",313
"Andrew Tate: To what extent, if at all, do you have a favourable or unfavourable view of the following people?","Andrew Tate: To extent, at all, have favourable or unfavourable view of following people?",314
"Elon Musk: To what extent, if at all, do you have a favourable or unfavourable view of the following people?","Elon Musk: To extent, at all, have favourable or unfavourable view of following people?",315
"Donald Trump: To what extent, if at all, do you have a favourable or unfavourable view of the following people?","Donald Trump: To extent, at all, have favourable or unfavourable view of following people?",316
"Greta Thunberg: To what extent, if at all, do you have a favourable or unfavourable view of the following people?","Greta Thunberg: To extent, at all, have favourable or unfavourable view of following people?",317
"Barack Obama: To what extent, if at all, do you have a favourable or unfavourable view of the following people?","Barack Obama: To extent, at all, have favourable or unfavourable view of following people?",318
"Taylor Swift: To what extent, if at all, do you have a favourable or unfavourable view of the following people?","Taylor Swift: To extent, at all, have favourable or unfavourable view of following people?",319
SUMMARY - (Rank 1): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,SUMMARY - (Rank 1): Which of following policy issues are most important to when deciding how to vote at next General Election?,320
SUMMARY - (Rank 1-3): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,SUMMARY - (Rank 1-3): Which of following policy issues are most important to when deciding how to vote at next General Election?,321
SUMMARY - (Rank 1-5): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,SUMMARY - (Rank 1-5): Which of following policy issues are most important to when deciding how to vote at next General Election?,322
Gender recognition and the rights of transgender people: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Gender recognition rights of transgender people: Which of following policy issues are most important to when deciding how to vote at next General Election?,323
The economy: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,The economy: Which of following policy issues are most important to when deciding how to vote at next General Election?,324
Inflation and the cost of living: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Inflation cost of living: Which of following policy issues are most important to when deciding how to vote at next General Election?,325
Immigration: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Immigration: Which of following policy issues are most important to when deciding how to vote at next General Election?,326
The NHS: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,The NHS: Which of following policy issues are most important to when deciding how to vote at next General Election?,327
Housing: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Housing: Which of following policy issues are most important to when deciding how to vote at next General Election?,328
Crime: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Crime: Which of following policy issues are most important to when deciding how to vote at next General Election?,329
The environment and climate change: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,The environment climate change: Which of following policy issues are most important to when deciding how to vote at next General Election?,330
Taxation: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Taxation: Which of following policy issues are most important to when deciding how to vote at next General Election?,331
Pensions: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Pensions: Which of following policy issues are most important to when deciding how to vote at next General Election?,332
Transport: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Transport: Which of following policy issues are most important to when deciding how to vote at next General Election?,333
Education: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Education: Which of following policy issues are most important to when deciding how to vote at next General Election?,334
Britain's relationship with the EU: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Britain's relationship with EU: Which of following policy issues are most important to when deciding how to vote at next General Election?,335
The war in Ukraine: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,The war in Ukraine: Which of following policy issues are most important to when deciding how to vote at next General Election?,336
Social care: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Social care: Which of following policy issues are most important to when deciding how to vote at next General Election?,337
Poverty/inequality: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,Poverty/inequality: Which of following policy issues are most important to when deciding how to vote at next General Election?,338
What is your annual salary before tax and deductions?,What is your annual salary before tax deductions?,339
What is your current level of seniority at your workplace?,What is your current level of seniority at your workplace?,340
Which of the following would best describe your political leaning?,Which of following would best describe your political leaning?,341
To what extent are you concerned or not concerned about affording your energy bills this winter?,To extent are concerned or not concerned about affording your energy bills this winter?,342
"SUMMARY - (Rank 1-3): Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","SUMMARY - (Rank 1-3): Thinking of following possible impacts of immigration, please rank them in order of importance to you.",343
"SUMMARY - (Rank 1-5): Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","SUMMARY - (Rank 1-5): Thinking of following possible impacts of immigration, please rank them in order of importance to you.",344
"Immigration allowing highly skilled people to fill jobs where there is a labour shortage: Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","Immigration allowing highly skilled people to fill jobs where is labour shortage: Thinking of following possible impacts of immigration, please rank them in order of importanc",345
"Immigration bringing in more people of working age who contribute to the UK in taxes: Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","Immigration bringing in more people of working age who contribute to UK in taxes: Thinking of following possible impacts of immigration, please rank them in order of importanc",346
"Immigration allowing people to fill low-paid jobs that British workers won't do: Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","Immigration allowing people to fill low-paid jobs British workers won't do: Thinking of following possible impacts of immigration, please rank them in order of importance to y",347
"Immigration bringing in people with fresh ideas to star businesses and create jobs: Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","Immigration bringing in people with fresh ideas to star businesses create jobs: Thinking of following possible impacts of immigration, please rank them in order of importance ",348
"Immigration bringing in foreign students to fund universities and make them more vibrant: Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","Immigration bringing in foreign students to fund universities make them more vibrant: Thinking of following possible impacts of immigration, please rank them in order of impor",349
"Immigration enriching British culture and making it more diverse: Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","Immigration enriching British culture making more diverse: Thinking of following possible impacts of immigration, please rank them in order of importance to you.",350
"Immigration allowing people to come to the UK to claim welfare for themselves and their family: Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","Immigration allowing people to come to UK to claim welfare themselves their family: Thinking of following possible impacts of immigration, please rank them in order of importa",351
"Immigration increasing the pressure and demand on public services: Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","Immigration increasing pressure demand on public services: Thinking of following possible impacts of immigration, please rank them in order of importance to you.",352
"Immigration increasing the pressure and demand for housing: Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","Immigration increasing pressure demand housing: Thinking of following possible impacts of immigration, please rank them in order of importance to you.",353
"Immigration damaging Britain's own culture and traditions: Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","Immigration damaging Britain's own culture traditions: Thinking of following possible impacts of immigration, please rank them in order of importance to you.",354
"Immigration undercutting the wages of British workers: Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","Immigration undercutting wages of British workers: Thinking of following possible impacts of immigration, please rank them in order of importance to you.",355
"Immigration allowing those with extremist views into the UK: Thinking of the following possible impacts of immigration, please rank them in order of importance to you.","Immigration allowing those with extremist views into UK: Thinking of following possible impacts of immigration, please rank them in order of importance to you.",356
SUMMARY - (Sum: More): To what extent would you allow more or less of each of the following types of immigration?,SUMMARY - (Sum: More): To extent would allow more or less of each of following types of immigration?,357
SUMMARY - (Sum: Less): To what extent would you allow more or less of each of the following types of immigration?,SUMMARY - (Sum: Less): To extent would allow more or less of each of following types of immigration?,358
People escaping war or persecution in their own country: To what extent would you allow more or less of each of the following types of immigration?,People escaping war or persecution in their own country: To extent would allow more or less of each of following types of immigration?,359
Wealthy individuals looking to invest in the UK: To what extent would you allow more or less of each of the following types of immigration?,Wealthy individuals looking to invest in UK: To extent would allow more or less of each of following types of immigration?,360
People looking to work in the health and social care sectors: To what extent would you allow more or less of each of the following types of immigration?,People looking to work in health social care sectors: To extent would allow more or less of each of following types of immigration?,361
People with family already in the UK: To what extent would you allow more or less of each of the following types of immigration?,People with family already in UK: To extent would allow more or less of each of following types of immigration?,362
People paying to study in the UK: To what extent would you allow more or less of each of the following types of immigration?,People paying to study in UK: To extent would allow more or less of each of following types of immigration?,363
Highly educated people looking for high-paid jobs in the UK: To what extent would you allow more or less of each of the following types of immigration?,Highly educated people looking high-paid jobs in UK: To extent would allow more or less of each of following types of immigration?,364
People looking for low-paid work with lower levels of education: To what extent would you allow more or less of each of the following types of immigration?,People looking low-paid work with lower levels of education: To extent would allow more or less of each of following types of immigration?,365
Summary - Has a problem with anti-Semitism : Which statement best describes your view about each of the following political parties?,Summary - Has problem with anti-Semitism : Which statement best describes your view about each of following political parties?,366
Conservative Party : Which statement best describes your view about each of the following political parties?,Conservative Party : Which statement best describes your view about each of following political parties?,367
Labour Party : Which statement best describes your view about each of the following political parties?,Labour Party : Which statement best describes your view about each of following political parties?,368
Liberal Democrats : Which statement best describes your view about each of the following political parties?,Liberal Democrats : Which statement best describes your view about each of following political parties?,369
Green Party : Which statement best describes your view about each of the following political parties?,Green Party : Which statement best describes your view about each of following political parties?,370
Reform UK : Which statement best describes your view about each of the following political parties?,Reform UK : Which statement best describes your view about each of following political parties?,371
